"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"CROSS: Contrastive Representation Learning for Optimal Source-to-Source Transfer Learning","S. Song; J. -H. Oh; J. -G. Baek","Department of Industrial & Management Engineering, Korea National University of Transportation, Chungju, South Korea; Samsung Electronics Company Ltd., Hwaseong, South Korea; Department of Industrial and Management Engineering, Korea University, Seoul, South Korea",2026 International Conference on Artificial Intelligence in Information and Communication (ICAIIC),"31 Mar 2026","2026","","","1172","1176","Deep learning-based prognostics and health management (PHM) has advanced remaining useful life (RUL) prediction; however, its performance remains limited by domain-specific dependence and noisy degradation data. The present paper introduces Contrastive Representation learning for Optimal Source-to-Source transfer (CROSS), a two-stage self-supervised framework that enhances domain generalization in degradation modeling. In the initial phase, a dual-tiered alarm system integrates the augmented Dickey-Fuller (ADF) test and acceleration analysis to identify the primary prediction time (FPT). This approach eliminates transient fluctuations and precisely delineates degradation initiation. In Stage 2, a negative-free contrastive learning module encodes temporal continuity between historical and future subsequences, thereby producing invariant representations for cross-domain transfer. Experiments on benchmark datasets demonstrate that CROSS outperforms baseline models, achieving the lowest mean absolute error (MAE) and the most precise FPT alignment with ground-truth failure points. The findings substantiate the hypothesis that the amalgamation of statistical FPT detection with contrastive representation learning furnishes a resilient, domain-invariance approach for intelligent industrial PHM applications.","2831-6983","979-8-3315-7957-9","10.1109/ICAIIC68212.2026.11454165","Korea National University of Transportation(grant numbers:2025); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11454165","Prognostics and Health Management;Remaining Useful Life Prediction;Contrastive Representation Learning;Time-Series Representation;Source-to-Source Adaptation","Degradation;Representation learning;Transfer learning;Life estimation;Contrastive learning;Benchmark testing;Transformers;Real-time systems;Prognostics and health management;Transient analysis","","","","18","IEEE","31 Mar 2026","24-27 Feb. 2026","24-27 Feb. 2026","IEEE","IEEE Conferences"
"Poster: Runtime Verification of Memory Safety via Source Transformation","Z. Chen; J. Yan; W. Li; J. Qian; Z. Huang","Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, CN; Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, CN; Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, CN; Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, CN; Nanjing University of Aeronautics and Astronautics, Nanjing, Jiangsu, CN",2018 IEEE/ACM 40th International Conference on Software Engineering: Companion (ICSE-Companion),"30 Aug 2018","2018","","","264","265","The unsafe features of C often lead to memory errors that can result in vulnerabilities. Many runtime verification tools are widely used to detect memory errors. However, existing tools lack DO-178C compliance, show limited performance, and demonstrate poor accessibility, e.g., lacking platform-independence. In this paper, we propose to implement dynamic analysis tools using source-to-source transformation, which operates on the original source code to insert code fragments written in ANSI C, and generates source files similar to the original files in structure. We show that source transformation can effectively avoid the mentioned drawbacks of existing tools, but it also faces many new challenges in implementation.","2574-1934","978-1-4503-5663-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449531","runtime verification;dynamic analysis;memory safety;C programs;source-to-source transformation","Tools;Runtime;Instruments;Safety;Software;Computer science;Computer architecture","","","","","","30 Aug 2018","27 May-3 June 2018","27 May-3 June 2018","IEEE","IEEE Conferences"
"Research on Software Vulnerability Testing Based on Function-Call","F. Zeng; M. Chen; K. Yin; X. Wang","Department of Computer Science, University of Science and Technology, Hefei, Anhui, China; Department of Computer Science, University of Science and Technology, Hefei, Anhui, China; Department of Computer Science, University of Science and Technology, Hefei, Anhui, China; Department of Computer Science, University of Science and Technology, Hefei, Anhui, China",2009 WRI International Conference on Communications and Mobile Computing,"4 Mar 2009","2009","3","","564","568","On the basis of analyzing the safety formulas for various types of vulnerabilities, this paper presents a novel method for software vulnerability testing, which uses source-code conversion and the state information of function-call to test the vulnerability of software. This method could cover a variety of vulnerabilities. The implementation shows that it can check the attack of buffer overflow accurately, on the occasions of no large losses in performance.","","978-0-7695-3501-2","10.1109/CMC.2009.141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4797316","safety formula;vulnerability;source-code conversion;buffer overflow;Function-Call","Software testing;Software safety;Buffer overflow;Information analysis;Information security;Mobile communication;Mobile computing;Computer science;Performance loss;Detection algorithms","","","","7","IEEE","4 Mar 2009","6-8 Jan. 2009","6-8 Jan. 2009","IEEE","IEEE Conferences"
"Addressing Security Issues during Decomposing Golang Monolithic Applications into Microservices through Code Analysis","A. W. Hou; K. -H. Hsu; Y. -Y. Chen","Department of Computer Science, National Taichung University of Education, Taichung, Taiwan; Department of Computer Science, National Taichung University of Education, Taichung, Taiwan; Department of Computer Science, National Taichung University of Education, Taichung, Taiwan",2024 10th International Conference on Applied System Innovation (ICASI),"13 Jun 2024","2024","","","445","447","Microservice Architecture (MSA) technology is gaining increasing attention and being widely adopted across industries which provides the advantage of promoting faster development and deployment in DevOps. Under these circumstances, migrating legacy monolithic systems into microservices has become a hot topic among industries, the most discussed approach is to rebuild or refactor the legacy system to microservice-based architecture. With the trend of microservice and security, numerous research on microservice security analysis has been proposed. This research analyzes the available security vulnerabilities throughout the process of migration states for static code analysis and states that more investigation and research are needed for migrated microservices security.","2768-4156","979-8-3503-9492-4","10.1109/ICASI60819.2024.10547752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547752","microservice;golang;security","Industries;Technological innovation;Codes;DevOps;Microservice architectures;Aging;Market research","","2","","16","IEEE","13 Jun 2024","17-21 April 2024","17-21 April 2024","IEEE","IEEE Conferences"
"Energy-Aware Source-to-Source Transformations for a VLIW DSP Processor","N. Zafar; M. Rupp","Christian Doppler Laboratory for Design Methodology of Signal Processing Algorithms, Institute of Communications and Radio Frequency Engineering, University of Technology, Vienna, Vienna, Austria; Christian Doppler Laboratory for Design Methodology of Signal Processing Algorithms, Institute of Communications and Radio Frequency Engineering, University of Technology, Vienna, Vienna, Austria",2005 International Conference on Microelectronics,"13 Feb 2006","2005","","","133","138","Despite heavy focus on energy optimization at circuit and technology level, the contribution of computational and data intensive applications to this consumption cannot be ignored. In this paper, key trade-offs are analyzed in energy, speed as well as size. We present an architectural-based energy macro-modeling at application level as well as an optimization methodology for high performance VLIW processors. Our methodology is mainly based on the application of successive energy-cost guarded source-to-source transformations. The experimental evaluation of the proposed approach results into better exploitation of functional units, memory hierarchy and highway usage of the target processor. The advantages of the proposed interactive code transformation approach are two-folds. First, effort in optimization is spent only when the program measurement (transformation cost) determines that the effort is necessary and potentially beneficial, and only on those portions of the program where the energy/cycle performance payoff appears to be high. Second, by concatenating subsequent energy/cycle profile-driven low level transformations for higher level manipulations, the system will provide the programmer with a powerful toolset. The approach is illustrated using functional unit usage within a VLIW architecture. The newly proposed operation rebinding technique for low power improves energy dissipation up to 30% and CPU performance up to 75% as demonstrated for an fir example.","2159-1679","0-7803-9262-0","10.1109/ICM.2005.1590054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1590054","Performance;Design;VLIW;Source-to-Source (StS) Transformation;Low Energy","VLIW;Digital signal processing;Energy consumption;Hardware;Energy dissipation;Central Processing Unit;Embedded system;Laboratories;Design methodology;Signal processing algorithms","","6","","22","IEEE","13 Feb 2006","13-15 Dec. 2005","13-15 Dec. 2005","IEEE","IEEE Conferences"
"VULTERMINATOR: Bringing Back Template-Based Automated Repair for Fixing Java Vulnerabilities","Q. -C. Bui; E. Iannone; R. Scandariato","Institute of Software Security, Hamburg University of Technology, Hamburg, Germany; Institute of Software Security, Hamburg University of Technology, Hamburg, Germany; Institute of Software Security, Hamburg University of Technology, Hamburg, Germany","2026 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","2 Jul 2026","2026","","","1","12","Mainstream techniques for Automated Vulnerability Repair (AVR) lean heavily on Large Language Models (LLMs) and treat the vulnerability repair as a code translation task. Yet, their effectiveness is limited due to the complex nature of vulnerability fixes and, possibly, the lack of training datasets in the Java programming language. On the other hand, templatebased Automated Program Repair (APR) remains a popular way to fix general bugs. However, only a few approaches have ever employed vulnerability-specific fix templates. This paper introduces VulTerminator, a novel repair approach for Java vulnerabilities that leverages both heuristic-based and data-driven fix templates. The former are specialized for certain vulnerability types, such as XML External Entity (XXE) injection, which can be more easily patched with predefined heuristics. The latter aim to repair a broader class of vulnerabilities by generating common patch templates with masks, which are later filled by a fine-tuned Masked Language Model (MLM). In this paper, we introduce a total of eleven fix templates distilled from real-world Java patches and evaluate VulTerminator on 106 vulnerabilities with test cases from Vul4J+, as well as on 169 unseen vulnerabilities from a newly curated dataset called Vul4JL. VulTerminator achieves the best overall repair performance, outperforming the state-of-the-art approaches by 7 % on Vul4J+ and 27 % on Vul4JL, as confirmed by manual inspection. Vulterminator managed to fix 10 vulnerabilities in Vul4J+ and 16 in Vul4JL that no other approach could do, mainly due to the contribution of heuristicbased templates.","2640-7574","979-8-3315-8582-2","10.1109/SANER67736.2026.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11576660","Automated Vulnerability Repair;Automated Program Repair;Large Language Models","Maintenance engineering;Modeling;Printing;Codes;Java;Conferences;Programming;Software engineering;Testing;Tools","","","","66","IEEE","2 Jul 2026","17-20 March 2026","17-20 March 2026","IEEE","IEEE Conferences"
"Quantum Quandaries: Unraveling Encoding Vulnerabilities in Quantum Neural Networks","S. Upadhyay; S. Ghosh","The Pennsylvania State University, PA, USA; The Pennsylvania State University, PA, USA",2025 26th International Symposium on Quality Electronic Design (ISQED),"30 May 2025","2025","","","1","7","Quantum computing (QC) has the potential to revolutionize fields like machine learning, security, and healthcare. Quantum machine learning (QML) has emerged as a promising area, enhancing learning algorithms using quantum computers. However, QML models are lucrative targets due to their high training costs and extensive training times. The scarcity of quantum resources and long wait times further exacerbate the challenge. Additionally, QML providers may rely on third-party quantum clouds for hosting models, exposing them and their training data to potential threats. As QML-as-a-Service (QMLaaS) becomes more prevalent, reliance on third-party quantum clouds poses a significant security risk. This work demonstrates that adversaries in quantum cloud environments can exploit white-box access to QML models to infer the user's encoding scheme by analyzing circuit transpilation artifacts. The extracted data can be reused for training clone models or sold for profit. We validate the proposed attack through simulations, achieving high accuracy in distinguishing between encoding schemes. We report that ≈95% of the time, the encoding can be predicted correctly. To mitigate this threat, we propose a transient obfuscation layer that masks encoding fingerprints using randomized rotations and entanglement, reducing adversarial detection to near-random chance ≈42%, with a depth overhead of ≈8.5% for a 5-layer QNN design.","1948-3295","979-8-3315-0942-2","10.1109/ISQED65160.2025.11014416","NSF(grant numbers:CNS-2129675,CCF-2210963,CCF-1718474,DGE-2113839); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11014416","QML Security;Untrusted Quantum Cloud;Encoding;Transpilation artifacts","Training;Quantum computing;Accuracy;Machine learning;Encoding;Data models;Security;Integrated circuit modeling;Transient analysis;Glass box","","4","","27","IEEE","30 May 2025","23-25 April 2025","23-25 April 2025","IEEE","IEEE Conferences"
"Security Risks of Transpiling C Programs to Rust","S. Wu; H. Yang; B. Hua","School of Software Engineering, University of Science and Technology of China, China; School of Software Engineering, University of Science and Technology of China, China; School of Software Engineering, University of Science and Technology of China, China","2025 IEEE 24th International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)","2 Feb 2026","2025","","","1877","1886","Rust is a promising systems programming language that provides strong security guarantees without sacrificing efficiency. To fully exploit Rust’s security benefits, transpilation is essential to migrate legacy C code to Rust. However, existing studies and practical transpilers all assumed that transpiled Rust programs are more secure and trustworthy than the corresponding C sources. Unfortunately, whether such an assumption truly holds in practice is still unknown. Therefore, a systematic empirical security investigation is urgently needed to evaluate the security risks and implications of C-to-Rust transpilations. In this paper, to fill this gap, we take the first step towards investigating the security risks of transpiled Rust code. To this end, we first create a dataset comprising 25,183 vulnerable C programs, to systematically examine how known vulnerabilities manifest after the transpilation. We then conduct an empirical study of the generated Rust transpiled from the C dataset, and obtain important findings and insights from the results: 1) we find that Rust’s built-in checks detect 14,201 vulnerabilities (56.4%) in C2Rust translations and 15,718 (62.4%) in GPT-4 translations, 2) we identify three root causes of semantic correction, behavioral masking, and latent unsafe preservation, leading to detection failures, and 3) we confirm that safety tools like ASan and TSan enhance vulnerability detection in Rust up to 26%. We suggest that: 1) researchers should improve comprehension of Rust security and conduct future research on code transpilation, 2) toolchain builders should refine transpilation approaches to better improve security of transpiled code, and 3) developers should employ security tools to mitigate potential security risks. We believe these findings and suggestions will help researchers, toolchain builders, and developers, by providing better guidelines for code transpilation and Rust security in general.","2324-9013","979-8-3315-6532-9","10.1109/Trustcom66490.2025.00217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11354705","Rust;Transpilation;Security","Symbiosis;Root cause analysis;Privacy;Program processors;Codes;Translation;Systematics;Semantics;Safety;Security","","1","","48","IEEE","2 Feb 2026","14-17 Nov. 2025","14-17 Nov. 2025","IEEE","IEEE Conferences"
"HIPAcc: A Domain-Specific Language and Compiler for Image Processing","R. Membarth; O. Reiche; F. Hannig; J. Teich; M. Körner; W. Eckert","German Research Center for Artificial Intelligence, Saarland University, Saarbrücken, Germany; Department of Computer Science, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Department of Computer Science, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Department of Computer Science, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Siemens Healthcare Sector, Forchheim, Germany; Siemens Corporate Technology, Erlangen, Germany",IEEE Transactions on Parallel and Distributed Systems,"9 Dec 2015","2016","27","1","210","224","Domain-specific languages (DSLs) provide high-level and domain-specific abstractions that allow expressive and concise algorithm descriptions. Since the description in a DSL hides also the properties of the target hardware, DSLs are a promising path to target different parallel and heterogeneous hardware from the same algorithm description. In theory, the DSL description can capture all characteristics of the algorithm that are required to generate highly efficient parallel implementations. However, most frameworks do not make use of this knowledge and the performance cannot reach that of optimized library implementations. In this article, we present the HIPAcc framework, a DSL and source-to-source compiler for image processing. We show that domain knowledge can be captured in the language and that this knowledge enables us to generate tailored implementations for a given target architecture. Back ends for CUDA, OpenCL, and Renderscript allow us to target discrete graphics processing units (GPUs) as well as mobile, embedded GPUs. Exploiting the captured domain knowledge, we can generate specialized algorithm variants that reach the maximal achievable performance due to the peak memory bandwidth. These implementations outperform state-of-the-art domain-specific languages and libraries significantly.","1558-2183","","10.1109/TPDS.2015.2394802","German Research Foundation; Research Training Group; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7017495","domain-specific language;image processing;code generation;source-to-source translation;GPU;CUDA;OpenCL;Renderscript;Domain-specific language;image processing;code generation;source-to-source translation;GPU;CUDA;OpenCL;Renderscript","DSL;Graphics processing units;Kernel;Image processing;Hardware;Indexes;Optimization","","93","","37","IEEE","21 Jan 2015","1 Jan. 2016","","IEEE","IEEE Journals"
"Exploiting Parallelism for Energy Efficient Source Code High Performance Computing","N. Z. Azeemi","Christian Doppler Laboratory for Design Methodology of Signal Processing Algorithms, Institute of Communications and Radio Frequency Engineering, University of Technology, Vienna, Vienna, Austria",2006 IEEE International Conference on Industrial Technology,"18 Jun 2007","2006","","","2741","2746","Architectures are increasingly becoming difficult to fully utilize. The growing trend towards the multiple peripherals on single chip complex embedded system having multiple peripherals has fueled the energy aspect of compute and data intensive applications. Our experiments show that although high performance applications tends to be more cycle efficient, but there energy efficiency is reduced by many factors, such as optimal architecture utilization, poor compilation optimization, to name a few. Our methodology exploits parallelism, inherent in multimedia DSP applications, as well as in multimedia DSP processors. Our proposed techniques include profile based compilation-approach which makes the source-to-source transformation more energy efficient. The profile monitor identifies the application expression slacks with respect to the underlying hardware architecture in order to selectively apply different transformation schemes depending on the observed static and runtime profile and to filter out unnecessary optimization iteration. We also propose a stochastic filtering technique to further reduce the optimization search space and hence offline compilation overhead due to huge compiler optimization options. Our experiments show that the proposed techniques increase the parallelism by close to 51% for Viterbi decoder, 79% for MPEG-2, 32% for H-263, and 84% for MPEG-4 without loosing performance benefits.","","1-4244-0725-7","10.1109/ICIT.2006.372685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4238007","Embedded Applications;Low Energy;HPC (High Performance Computing);Genetic Algorithm;Source-to-Source Transformation (StS)","Parallel processing;Energy efficiency;High performance computing;Computer architecture;Digital signal processing;Optimizing compilers;Embedded system;Computer peripherals;Embedded computing;Monitoring","","2","","14","IEEE","18 Jun 2007","15-17 Dec. 2006","15-17 Dec. 2006","IEEE","IEEE Conferences"
