Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
The new compiler stack: a survey on the synergy of LLMs and compilers,CCF Transactions on High Performance Computing,,,,10.1007/s42514-025-00270-x,Shuoming ZhangJiacheng ZhaoQiuchu YuChunwei XiaZheng WangXiaobing FengHuimin Cui,2026,https://link.springer.com/article/10.1007/s42514-025-00270-x,Article
Epistemology for&#xa0;Cyber Security: A Controlled Natural Language Approach,"Advances in Information Systems, Artificial Intelligence and Knowledge  Management",,,,10.1007/978-3-031-51664-1_19,Leigh ChaseAlaa MohassebBenjamin Aziz,2024,https://link.springer.com/chapter/10.1007/978-3-031-51664-1_19,Conference paper
Source Code Vulnerability Detection Based on&#xa0;Graph Structure Representation and&#xa0;Attention Mechanisms,"Advances in Internet, Data & Web Technologies",,,,10.1007/978-3-031-53555-0_6,Yiran SunZiqi WangKewei LiuBaojiang Cui,2024,https://link.springer.com/chapter/10.1007/978-3-031-53555-0_6,Conference paper
Negative Perceptions About the Applicability of Source-to-Source Compilers in HPC: A Literature Review,High Performance Computing,,,,10.1007/978-3-030-90539-2_16,Reed MilewiczPeter PirkelbauerPrema SoundararajanHadia AhmedTony Skjellum,2021,https://link.springer.com/chapter/10.1007/978-3-030-90539-2_16,Conference paper
Modified model-based fault location estimation in DC microgrids,Electrical Engineering,,,,10.1007/s00202-025-03344-9,S.S. Hosseini LimaeiS. Seyedtabaii,2025,https://link.springer.com/article/10.1007/s00202-025-03344-9,Article
"SDK4ED: a platform for building energy efficient, dependable, and maintainable embedded software",Automated Software Engineering,,,,10.1007/s10515-024-00450-z,Miltiadis SiavvasDimitrios TsoukalasCharalambos MarantosLazaros PapadopoulosChristos LamprakosOliviu MateiChristos StrydisMuhammad Ali SiddiqiPhilippe ChrobocinskiKatarzyna FilusJoanna DomańskaParis AvgeriouApostolos AmpatzoglouDimitrios SoudrisAlexander ChatzigeorgiouErol GelenbeDionysios KehagiasDimitrios Tzovaras,2024,https://link.springer.com/article/10.1007/s10515-024-00450-z,Article
Exploring the&#xa0;Potential of&#xa0;LLMs for&#xa0;Code Deobfuscation,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97620-9_15,David BesteGrégoire MenguyHossein HajipourMario FritzAntonio Emanuele CinàSébastien BardinThorsten HolzThorsten EisenhoferLea Schönherr,2025,https://link.springer.com/chapter/10.1007/978-3-031-97620-9_15,Conference paper
Face_Secure: A New Era of Intelligent Door Security,Proceedings of Data Analytics and Management,,,,10.1007/978-3-032-04222-4_15,Ashwin PertiBhaskar BajajAnmol,2026,https://link.springer.com/chapter/10.1007/978-3-032-04222-4_15,Conference paper
Formally Verifiable Generated ASN.1/ACN Encoders and&#xa0;Decoders: A Case Study,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-031-82703-7_9,Mario BucevSamuel ChassotSimon FelixFilip SchramkaViktor Kunčak,2025,https://link.springer.com/chapter/10.1007/978-3-031-82703-7_9,Conference paper
The Bridge to&#xa0;the&#xa0;Quantum Fortress: How Do Hybrid Cloud Attacks Exploit the&#xa0;Quantum Core?,Security and Privacy in Communication Networks,,,,10.1007/978-3-032-32764-2_25,Prabin LamichhaneKyu Hyung Lee,2027,https://link.springer.com/chapter/10.1007/978-3-032-32764-2_25,Conference paper
HCC: A Language-Independent Hardening Contract Compiler for&#xa0;Smart Contracts,Applied Cryptography and Network Security,,,,10.1007/978-3-031-95761-1_5,Jens-Rene GiesenSebastien AndreinaMichael RodlerGhassan KarameLucas Davi,2025,https://link.springer.com/chapter/10.1007/978-3-031-95761-1_5,Conference paper
From AI security to ethical AI security: a comparative risk-mitigation framework for classical and hybrid AI governance,AI and Ethics,,,,10.1007/s43681-025-00935-x,Ludovica IlariSimona TiribelliFilippo Caruso,2026,https://link.springer.com/article/10.1007/s43681-025-00935-x,Article
Quantum Neural Networks Under Threat: Modeling Security Risks and&#xa0;Attack Vectors,Quantum Engineering Sciences and Technologies for Industry and Services,,,,10.1007/978-3-032-13855-2_12,Nouhaila InnanWalid El MaouakiAlberto MarchisioMuhammad Shafique,2026,https://link.springer.com/chapter/10.1007/978-3-032-13855-2_12,Conference paper
Analyzing Safety and Security of Solidity Smart Contracts via Semantics-Preserving Transcompilation,Innovations in Systems and Software Engineering,,,,10.1007/s11334-025-00615-3,Kartik KaushikRaju HalderSamrat Mondal,2025,https://link.springer.com/article/10.1007/s11334-025-00615-3,Article
Source-to-source compilation targeting OpenMP-based automatic parallelization of C applications,The Journal of Supercomputing,,,,10.1007/s11227-019-03109-9,Hamid ArabnejadJoão BispoJoão M. P. CardosoJorge G. Barbosa,2019,https://link.springer.com/article/10.1007/s11227-019-03109-9,Article
FlexGE: Towards Secure and&#xa0;Flexible Model Partition for&#xa0;Deep Neural Networks,"Detection of Intrusions and Malware, and Vulnerability Assessment",,,,10.1007/978-3-031-97623-0_4,Xiaolong WuAravind Kumar MachiryYung-Hsiang LuDave Jing Tian,2025,https://link.springer.com/chapter/10.1007/978-3-031-97623-0_4,Conference paper
Clight2Rust: Translating a&#xa0;Subset of&#xa0;C into Safe Rust with&#xa0;a&#xa0;Small Trusted Runtime,Theoretical Aspects of Software Engineering,,,,10.1007/978-3-032-30693-7_4,Dongwen YaoJinhua WuYuting Wang,2027,https://link.springer.com/chapter/10.1007/978-3-032-30693-7_4,Conference paper
LLM-Driven Cross-Platform Code Generation for&#xa0;Polyhedral Optimized NPDP Codes,Parallel Processing and Applied Mathematics,,,,10.1007/978-3-031-85700-3_12,Marek Palkowski,2025,https://link.springer.com/chapter/10.1007/978-3-031-85700-3_12,Conference paper
Adversarial Threats in&#xa0;Quantum Machine Learning: A Survey of&#xa0;Attacks and&#xa0;Defenses,Quantum Robustness in Artificial Intelligence,,,,10.1007/978-3-032-11153-1_3,Archisman GhoshSatwik KunduSwaroop Ghosh,2026,https://link.springer.com/chapter/10.1007/978-3-032-11153-1_3,Chapter
Commit2Vec: Learning Distributed Representations of Code Changes,SN Computer Science,,,,10.1007/s42979-021-00566-z,Rocío Cabrera LozoyaArnaud BaumannAntonino SabettaMichele Bezzi,2021,https://link.springer.com/article/10.1007/s42979-021-00566-z,Article
Proof Repair Utilizing Large Language Models: A Case Study on&#xa0;the&#xa0;Copland Remote Attestation Proofbase,Bridging the Gap Between AI and Reality,,,,10.1007/978-3-031-75434-0_10,Amer TahatDavid HardinAdam PetzPerry Alexander,2025,https://link.springer.com/chapter/10.1007/978-3-031-75434-0_10,Conference paper
Evaluation of&#xa0;Speedup and&#xa0;Energy with&#xa0;Multigrain Parallelizing Compiler,Principles and Practices of Building Parallel Software,,,,10.1007/978-3-031-97492-2_4,John PickarTohma KawasumiHiroki MikamiKeiji KimuraHironori Kasahara,2025,https://link.springer.com/chapter/10.1007/978-3-031-97492-2_4,Chapter
Mutation analysis for evaluating code translation,Empirical Software Engineering,,,,10.1007/s10664-023-10385-w,Giovani GuizzoJie M. ZhangFederica SarroChristoph TreudeMark Harman,2023,https://link.springer.com/article/10.1007/s10664-023-10385-w,Article
A Multiple Compiler Framework for&#xa0;Improved Performance,Languages and Compilers for Parallel Computing,,,,10.1007/978-3-032-02436-7_12,Aniket ShivamAlexandru NicolauAlexander V. Veidenbaum,2026,https://link.springer.com/chapter/10.1007/978-3-032-02436-7_12,Conference paper
Least Information Redundancy Algorithm of&#xa0;Printable Shellcode Encoding for&#xa0;X86,Computer Security. ESORICS 2023 International Workshops,,,,10.1007/978-3-031-54129-2_21,Yuanding Zhou,2024,https://link.springer.com/chapter/10.1007/978-3-031-54129-2_21,Conference paper
Leveraging AI for&#xa0;Productive and&#xa0;Trustworthy HPC Software: Challenges and&#xa0;Research Directions,High Performance Computing,,,,10.1007/978-3-032-07612-0_47,Keita TeranishiHarshitha MenonWilliam F. GodoyPrasanna BalaprakashDavid BauTal Ben-NunAbhinav BhateleFranz FranchettiMichael FranusichTodd GamblinGiorgis GeorgakoudisTom GoldsteinArjun GuhaSteven E. HahnCostin IancuZheming JinTerry JonesTze-Meng LowHet MankadNarasinga Rao MiniskarMohammad Alaul Haque MonilDaniel NicholsKonstantinos ParasyrisSwaroop PophalePedro Valero-LaraJeffrey S. VetterSamuel WilliamsAaron Young,2026,https://link.springer.com/chapter/10.1007/978-3-032-07612-0_47,Conference paper
A Formal Modeling Language for&#xa0;Smart Contracts,Software Engineering and Formal Methods,,,,10.1007/978-3-031-77382-2_6,Adele VeschettiRichard BubelReiner Hähnle,2025,https://link.springer.com/chapter/10.1007/978-3-031-77382-2_6,Conference paper
"No Root, No Problem: Automating Linux Least Privilege and&#xa0;Securing Ansible Deployments",Computer Security – ESORICS 2025,,,,10.1007/978-3-032-07894-0_3,Eddie BilloirRomain LabordeDaniele CanaveseYves RütschléAhmad Samer WazanAbdelmalek Benzekri,2026,https://link.springer.com/chapter/10.1007/978-3-032-07894-0_3,Conference paper
LLM Firewall: Private LLM Program Repair Using Hybrid Intent Inference,Software Engineering and Advanced Applications,,,,10.1007/978-3-032-36590-3_25,Giray Akyolİlke LatifoğluAtakan KayaEray Tüzün,2027,https://link.springer.com/chapter/10.1007/978-3-032-36590-3_25,Conference paper
Exploring AI and quantum computing synergies in holographic counterpart frameworks for IoT security and privacy,The Journal of Supercomputing,,,,10.1007/s11227-025-07682-0,Abdullah I. A. Alzahrani,2025,https://link.springer.com/article/10.1007/s11227-025-07682-0,Article
An Optimizing Multi-platform Source-to-source Compiler Framework for the NEURON MODeling Language,Computational Science – ICCS 2020,,,,10.1007/978-3-030-50371-0_4,Pramod KumbharOmar AwileLiam KeeganJorge Blanco AlonsoJames KingMichael HinesFelix Schürmann,2020,https://link.springer.com/chapter/10.1007/978-3-030-50371-0_4,Conference paper
A survey on robustness attacks for deep code models,Automated Software Engineering,,,,10.1007/s10515-024-00464-7,Yubin QuSong HuangYongming Yao,2024,https://link.springer.com/article/10.1007/s10515-024-00464-7,Article
Learning to Expand: Dynamic Adaptive Monte-Carlo Tree Search for Code Generation,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9994-0_20,Feng Ji,2025,https://link.springer.com/chapter/10.1007/978-981-96-9994-0_20,Conference paper
Quantum secure image encryption using hybrid QTRNG and QPRNG,Scientific Reports,,,,10.1038/s41598-026-35111-6,T. S. GururajaPadmapriya Pravinkumar,2026,https://link.springer.com/article/10.1038/s41598-026-35111-6,Article
<span>PragFormer</span>: Data-Driven Parallel Source Code Classification with Transformers,International Journal of Parallel Programming,,,,10.1007/s10766-024-00778-9,Re’em HarelTal KadoshNiranjan HasabnisTimothy MattsonYuval PinterGal Oren,2024,https://link.springer.com/article/10.1007/s10766-024-00778-9,Article
Cracking IoT security: can LLMs outsmart static analysis tools?,Empirical Software Engineering,,,,10.1007/s10664-026-10849-9,Jason QuantrillNoura KhajehnouriZihan GuoManar H. Alalfi,2026,https://link.springer.com/article/10.1007/s10664-026-10849-9,Article
Combining Loop Shuffling and&#xa0;Code PolyMorphism for&#xa0;Enhanced AES Side-Channel Security,Constructive Side-Channel Analysis and Secure Design,,,,10.1007/978-3-031-57543-3_14,Nicolas BellevilleLoïc Masure,2024,https://link.springer.com/chapter/10.1007/978-3-031-57543-3_14,Conference paper
