Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Source-to-Source Optimization of CUDA C for GPU Accelerated Cardiac Cell Modeling,Euro-Par 2010 - Parallel Processing,,,,10.1007/978-3-642-15277-1_5,Fred V. LionettiAndrew D. McCullochScott B. Baden,2010,https://link.springer.com/chapter/10.1007/978-3-642-15277-1_5,Conference paper
Semantic-Aware Automatic Parallelization of Modern Applications Using High-Level Abstractions,International Journal of Parallel Programming,,,,10.1007/s10766-010-0139-0,Chunhua LiaoDaniel J. QuinlanJeremiah J. WillcockThomas Panas,2010,https://link.springer.com/article/10.1007/s10766-010-0139-0,Article
A model checking-based approach for security policy verification of mobile systems,Formal Aspects of Computing,,,,10.1007/s00165-010-0159-y,Chiara BraghinNatasha SharyginaKaterina Barone-Adesi,2010,https://link.springer.com/article/10.1007/s00165-010-0159-y,Article
TH-1: China’s first petaflop supercomputer,Frontiers of Computer Science in China,,,,10.1007/s11704-010-0383-x,Xuejun YangXiangke LiaoWeixia XuJunqiang SongQingfeng HuJinshu SuLiquan XiaoKai LuQiang DouJuping JiangCanqun Yang,2010,https://link.springer.com/article/10.1007/s11704-010-0383-x,Article
Optimizing modulo scheduling to achieve reuse and&#xa0;concurrency for stream processors,The Journal of Supercomputing,,,,10.1007/s11227-010-0522-z,Li WangJingling XueXuejun Yang,2010,https://link.springer.com/article/10.1007/s11227-010-0522-z,Article
Compiling Higher Order Logic by Proof,Design and Verification of Microprocessor Systems for High-Assurance Applications,,,,10.1007/978-1-4419-1539-9_7,Konrad SlindGuodong LiScott Owens,2010,https://link.springer.com/chapter/10.1007/978-1-4419-1539-9_7,Chapter
The effectiveness of publicity versus advertising: a meta-analytic investigation of its moderators,Journal of the Academy of Marketing Science,,,,10.1007/s11747-010-0224-3,Martin EisendFranziska Küster,2010,https://link.springer.com/article/10.1007/s11747-010-0224-3,Article
Transforming flow information during code optimization for timing analysis,Real-Time Systems,,,,10.1007/s11241-010-9091-8,Raimund KirnerPeter PuschnerAdrian Prantl,2010,https://link.springer.com/article/10.1007/s11241-010-9091-8,Article
SUDS: an infrastructure for creating dynamic software defect detection tools,Automated Software Engineering,,,,10.1007/s10515-010-0067-7,Eric Larson,2010,https://link.springer.com/article/10.1007/s10515-010-0067-7,Article
Oxidative Stability of Marine Phospholipids in the Liposomal Form and Their Applications,Lipids,,,,10.1007/s11745-010-3496-y,F. S. Henna LuN. S. NielsenM. Timm-HeinrichC. Jacobsen,2010,https://link.springer.com/article/10.1007/s11745-010-3496-y,Article
Idea: Enforcing Consumer-Specified Security Properties for Modular Software,Engineering Secure Software and Systems,,,,10.1007/978-3-642-11747-3_14,Giacomo A. GalileiVincenzo Gervasi,2010,https://link.springer.com/chapter/10.1007/978-3-642-11747-3_14,Conference paper
On-the-fly Inlining of Dynamic Security Monitors,Security and Privacy – Silver Linings in the Cloud,,,,10.1007/978-3-642-15257-3_16,Jonas MagaziniusAlejandro RussoAndrei Sabelfeld,2010,https://link.springer.com/chapter/10.1007/978-3-642-15257-3_16,Conference paper
Secure Code Generation for Web Applications,Engineering Secure Software and Systems,,,,10.1007/978-3-642-11747-3_8,Martin JohnsChristian BeyerleinRosemaria GieseckeJoachim Posegga,2010,https://link.springer.com/chapter/10.1007/978-3-642-11747-3_8,Conference paper
Automatically Tuning Parallel and Parallelized Programs,Languages and Compilers for Parallel Computing,,,,10.1007/978-3-642-13374-9_9,Chirag DaveRudolf Eigenmann,2010,https://link.springer.com/chapter/10.1007/978-3-642-13374-9_9,Conference paper
WebAppArmor: A Framework for Robust Prevention of Attacks on Web Applications (Invited Paper),Information Systems Security,,,,10.1007/978-3-642-17714-9_2,V. N. VenkatakrishnanPrithvi BishtMike Ter LouwMichelle ZhouKalpana GondiKarthik Thotta Ganesh,2010,https://link.springer.com/chapter/10.1007/978-3-642-17714-9_2,Conference paper
Static detection of application backdoors,Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-010-0024-4,Chris WysopalChris EngTyler Shields,2010,https://link.springer.com/article/10.1007/s11623-010-0024-4,Article
Context-Bounded Translations for Concurrent Software: An Empirical Evaluation,Model Checking Software,,,,10.1007/978-3-642-16164-3_17,Naghmeh GhafariAlan J. HuZvonimir Rakamarić,2010,https://link.springer.com/chapter/10.1007/978-3-642-16164-3_17,Conference paper
Estimating and Exploiting Potential Parallelism by Source-Level Dependence Profiling,Euro-Par 2010 - Parallel Processing,,,,10.1007/978-3-642-15277-1_4,Jonathan MakKarl-Filip FaxénSverker JansonAlan Mycroft,2010,https://link.springer.com/chapter/10.1007/978-3-642-15277-1_4,Conference paper
Source Code Rejuvenation Is Not Refactoring,SOFSEM 2010: Theory and Practice of Computer Science,,,,10.1007/978-3-642-11266-9_53,Peter PirkelbauerDamian DechevBjarne Stroustrup,2010,https://link.springer.com/chapter/10.1007/978-3-642-11266-9_53,Conference paper
Crowdsourced Web Augmentation: A Security Model,Web Information Systems Engineering – WISE 2010,,,,10.1007/978-3-642-17616-6_27,Cristóbal ArellanoOscar DíazJon Iturrioz,2010,https://link.springer.com/chapter/10.1007/978-3-642-17616-6_27,Conference paper
Abstract Certification of Global Non-interference in Rewriting Logic,Formal Methods for Components and Objects,,,,10.1007/978-3-642-17071-3_6,Mauricio Alba-CastroMaría AlpuenteSantiago Escobar,2010,https://link.springer.com/chapter/10.1007/978-3-642-17071-3_6,Conference paper
The origins of species richness in the Hymenoptera: insights from a family-level supertree,BMC Evolutionary Biology,,,,10.1186/1471-2148-10-109,Robert B DavisSandra L BaldaufPeter J Mayhew,2010,https://link.springer.com/article/10.1186/1471-2148-10-109,Article
"Historical trace metal loading to a large river recorded in the sediments of Lake St. Croix, USA",Journal of Paleolimnology,,,,10.1007/s10933-010-9434-4,Steven J. BaloghLaura D. TriplettDaniel R. EngstromYabing H. Nollet,2010,https://link.springer.com/article/10.1007/s10933-010-9434-4,Article
Automatic C-to-CUDA Code Generation for Affine Programs,Compiler Construction,,,,10.1007/978-3-642-11970-5_14,Muthu Manikandan BaskaranJ. RamanujamP. Sadayappan,2010,https://link.springer.com/chapter/10.1007/978-3-642-11970-5_14,Conference paper
Topology-Aware OpenMP Process Scheduling,"Beyond Loop Level Parallelism in OpenMP: Accelerators, Tasking and More",,,,10.1007/978-3-642-13217-9_8,Peter ThomanHans MoritschThomas Fahringer,2010,https://link.springer.com/chapter/10.1007/978-3-642-13217-9_8,Conference paper
